event_key,ticker,year,quarter,aligned_audio_sentence_count,aligned_audio_duration_sum_sec,F0semitoneFrom27.5Hz_sma3nz_amean_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_percentile50.0_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_percentile80.0_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope_winsor_mean,F1amplitudeLogRelF0_sma3nz_amean_winsor_mean,F1amplitudeLogRelF0_sma3nz_stddevNorm_winsor_mean,F1bandwidth_sma3nz_amean_winsor_mean,F1bandwidth_sma3nz_stddevNorm_winsor_mean,F1frequency_sma3nz_amean_winsor_mean,F1frequency_sma3nz_stddevNorm_winsor_mean,F2amplitudeLogRelF0_sma3nz_amean_winsor_mean,F2amplitudeLogRelF0_sma3nz_stddevNorm_winsor_mean,F2bandwidth_sma3nz_amean_winsor_mean,F2bandwidth_sma3nz_stddevNorm_winsor_mean,F2frequency_sma3nz_amean_winsor_mean,F2frequency_sma3nz_stddevNorm_winsor_mean,F3amplitudeLogRelF0_sma3nz_amean_winsor_mean,F3amplitudeLogRelF0_sma3nz_stddevNorm_winsor_mean,F3bandwidth_sma3nz_amean_winsor_mean,F3bandwidth_sma3nz_stddevNorm_winsor_mean,F3frequency_sma3nz_amean_winsor_mean,F3frequency_sma3nz_stddevNorm_winsor_mean,HNRdBACF_sma3nz_amean_winsor_mean,HNRdBACF_sma3nz_stddevNorm_winsor_mean,MeanUnvoicedSegmentLength_winsor_mean,MeanVoicedSegmentLengthSec_winsor_mean,StddevUnvoicedSegmentLength_winsor_mean,StddevVoicedSegmentLengthSec_winsor_mean,VoicedSegmentsPerSec_winsor_mean,alphaRatioUV_sma3nz_amean_winsor_mean,alphaRatioV_sma3nz_amean_winsor_mean,alphaRatioV_sma3nz_stddevNorm_winsor_mean,equivalentSoundLevel_dBp_winsor_mean,hammarbergIndexUV_sma3nz_amean_winsor_mean,hammarbergIndexV_sma3nz_amean_winsor_mean,hammarbergIndexV_sma3nz_stddevNorm_winsor_mean,jitterLocal_sma3nz_amean_winsor_mean,jitterLocal_sma3nz_stddevNorm_winsor_mean,logRelF0-H1-A3_sma3nz_amean_winsor_mean,logRelF0-H1-A3_sma3nz_stddevNorm_winsor_mean,logRelF0-H1-H2_sma3nz_amean_winsor_mean,logRelF0-H1-H2_sma3nz_stddevNorm_winsor_mean,loudnessPeaksPerSec_winsor_mean,loudness_sma3_amean_winsor_mean,loudness_sma3_meanFallingSlope_winsor_mean,loudness_sma3_meanRisingSlope_winsor_mean,loudness_sma3_pctlrange0-2_winsor_mean,loudness_sma3_percentile20.0_winsor_mean,loudness_sma3_percentile50.0_winsor_mean,loudness_sma3_percentile80.0_winsor_mean,loudness_sma3_stddevFallingSlope_winsor_mean,loudness_sma3_stddevNorm_winsor_mean,loudness_sma3_stddevRisingSlope_winsor_mean,mfcc1V_sma3nz_amean_winsor_mean,mfcc1V_sma3nz_stddevNorm_winsor_mean,mfcc1_sma3_amean_winsor_mean,mfcc1_sma3_stddevNorm_winsor_mean,mfcc2V_sma3nz_amean_winsor_mean,mfcc2V_sma3nz_stddevNorm_winsor_mean,mfcc2_sma3_amean_winsor_mean,mfcc2_sma3_stddevNorm_winsor_mean,mfcc3V_sma3nz_amean_winsor_mean,mfcc3V_sma3nz_stddevNorm_winsor_mean,mfcc3_sma3_amean_winsor_mean,mfcc3_sma3_stddevNorm_winsor_mean,mfcc4V_sma3nz_amean_winsor_mean,mfcc4V_sma3nz_stddevNorm_winsor_mean,mfcc4_sma3_amean_winsor_mean,mfcc4_sma3_stddevNorm_winsor_mean,shimmerLocaldB_sma3nz_amean_winsor_mean,shimmerLocaldB_sma3nz_stddevNorm_winsor_mean,slopeUV0-500_sma3nz_amean_winsor_mean,slopeUV500-1500_sma3nz_amean_winsor_mean,slopeV0-500_sma3nz_amean_winsor_mean,slopeV0-500_sma3nz_stddevNorm_winsor_mean,slopeV500-1500_sma3nz_amean_winsor_mean,slopeV500-1500_sma3nz_stddevNorm_winsor_mean,spectralFluxUV_sma3nz_amean_winsor_mean,spectralFluxV_sma3nz_amean_winsor_mean,spectralFluxV_sma3nz_stddevNorm_winsor_mean,spectralFlux_sma3_amean_winsor_mean,spectralFlux_sma3_stddevNorm_winsor_mean
AAPL_2019_Q2,AAPL,2019,Q2,12,102.284000,26.135230,66.124840,157.803345,4.567467,23.823392,25.490396,28.424204,95.816162,0.125082,192.590411,-92.348197,-1.092744,1194.947959,0.206851,635.031431,0.460443,-93.394711,-1.019030,881.577494,0.339109,1644.566124,0.192957,-96.258153,-0.958818,788.398940,0.402709,2677.182659,0.131318,3.585518,0.844179,0.174188,0.188177,0.179397,0.145553,2.799611,-4.572857,-10.363695,-0.679209,-38.777744,13.299476,21.149948,0.331697,0.021859,1.260023,19.154329,0.451263,-1.645873,-17.056748,3.487760,0.147313,1.709657,2.071159,0.176125,0.052321,0.124803,0.228420,1.047177,0.754675,1.237907,25.642335,0.343513,19.518475,0.711181,-6.927719,0.617284,-4.514478,4.932636,10.011606,3.638909,8.611187,5.318778,-26.533915,-0.561971,-20.910997,-0.751175,1.384219,0.679222,0.093730,-0.003843,0.127085,0.189897,-0.013137,-1.309979,0.018135,0.049323,0.692768,0.034289,0.953156
AAPL_2019_Q3,AAPL,2019,Q3,18,145.169000,27.026165,126.327028,224.990058,5.749593,24.053063,26.227901,29.784814,188.563883,0.172082,347.150843,-60.904133,-1.591144,1208.261815,0.222017,636.270633,0.442409,-63.796128,-1.378215,889.310673,0.369809,1645.961956,0.195830,-68.053380,-1.228535,792.762091,0.419276,2688.419225,0.126785,2.850902,2.222142,0.125527,0.273082,0.147712,0.202490,2.539746,-3.467984,-10.698109,-0.703611,-27.015691,12.518132,21.890231,0.393880,0.039428,1.720228,20.201516,0.499144,1.784727,1.494571,3.795018,0.544731,6.873786,8.900920,0.713155,0.184520,0.459309,0.896981,4.272475,0.733778,4.913011,34.222350,0.345626,28.176280,0.594398,-9.490566,-2.375678,-7.536797,-3.538085,12.246550,1.767141,11.599467,1.711378,-15.109044,-1.274791,-12.263744,-1.580434,1.566944,0.724627,0.088655,-0.001916,0.115066,0.231548,-0.014172,-1.073232,0.110907,0.352655,0.726542,0.277329,0.928876
AAPL_2019_Q4,AAPL,2019,Q4,9,54.066000,29.136968,159.642486,324.524102,12.071370,22.988881,25.618147,35.086692,181.288661,0.300399,398.995420,-48.680058,-1.824688,1226.973200,0.269080,814.286497,0.345964,-47.742821,-1.748393,1097.630478,0.316580,1779.149072,0.166562,-52.721915,-1.515176,951.847930,0.354225,2754.137622,0.106402,0.577660,11.207583,0.072025,0.188416,0.061871,0.174086,3.836307,-1.959472,-6.530937,-1.520701,-12.397733,12.632488,19.045706,0.500958,0.063643,1.477738,12.525145,0.985009,-1.680996,-2.707955,3.940427,1.655153,21.982472,27.607847,2.293775,0.515972,1.240985,2.809822,11.770684,0.801195,13.786554,36.273332,0.315386,35.055352,0.327256,-28.661334,-0.462231,-30.450277,-0.444677,5.903949,2.939322,8.035814,-2.509037,-8.198079,-2.687259,-7.449123,-4.048077,2.026598,0.604113,0.075617,-0.008315,0.098479,0.366236,-0.014005,-1.358951,0.902041,1.764249,0.839443,1.527809,0.945454
AAPL_2020_Q2,AAPL,2020,Q2,20,171.549000,24.639150,80.161132,169.745755,3.203816,22.353213,23.674759,25.558281,102.924798,0.182430,208.661131,-90.151016,-1.093349,1305.251853,0.185568,636.403864,0.395337,-93.435428,-0.994039,1003.188282,0.275627,1630.258553,0.169911,-98.134711,-0.902649,865.973912,0.352846,2719.070173,0.123939,2.910076,0.878164,0.147885,0.178916,0.170263,0.159858,3.018507,-7.381709,-12.189217,-0.589175,-30.369991,17.742663,23.827503,0.427062,0.027017,1.346696,21.353435,0.690035,-0.563737,-1.710855,3.420582,0.335215,3.726842,4.947466,0.434641,0.105308,0.282200,0.539537,2.214615,0.762805,2.691928,47.195434,0.200150,41.951812,0.328412,-12.066357,-1.367869,-12.804865,-1.304189,11.125655,3.377226,13.228206,2.593293,-10.237366,-2.633717,-8.793172,-2.946143,1.460547,0.656029,0.060694,0.003755,0.068159,0.281112,-0.014873,-1.651739,0.077521,0.177224,0.675064,0.130745,0.916751
AAPL_2020_Q3,AAPL,2020,Q3,13,111.145000,25.269607,96.781991,246.934292,5.224788,22.262228,24.631270,27.481128,121.460976,0.185830,332.936042,-57.348955,-1.646080,1213.384947,0.218108,561.292744,0.459612,-62.426040,-1.365573,899.779796,0.335887,1563.138886,0.189699,-67.509758,-1.198793,804.629769,0.448774,2612.604102,0.132439,1.996756,2.786924,0.109413,0.262657,0.107356,0.223390,2.715729,-1.901566,-11.614737,-0.720980,-24.266624,10.580879,23.558963,0.377503,0.040183,1.662941,22.107047,0.474310,1.519439,8.601252,4.150356,0.619885,8.405552,10.953412,0.773096,0.218180,0.515125,0.990691,5.289660,0.736045,6.019886,33.208191,0.388718,26.275873,0.697373,-3.936045,7.487759,-2.493227,-3.667298,11.313030,1.868418,10.852357,1.842729,-11.152621,-1.672913,-9.496481,-2.181545,1.695107,0.731761,0.082532,-0.005403,0.100744,0.249035,-0.017753,-1.024515,0.146601,0.439300,0.730513,0.349550,0.916283
AAPL_2020_Q4,AAPL,2020,Q4,12,91.991000,26.812800,118.682951,157.336991,5.138022,23.772918,26.111216,28.895198,171.659929,0.175897,178.488960,-50.066740,-1.763538,1187.400407,0.248274,615.479616,0.478513,-54.653779,-1.460966,878.573698,0.367773,1628.388776,0.201971,-59.388981,-1.282949,783.207362,0.431898,2673.275812,0.139322,2.394947,1.686751,0.089891,0.261909,0.095959,0.211614,2.860343,-3.928463,-10.720067,-0.669563,-26.896092,12.391572,22.230411,0.371442,0.043286,1.689389,22.164910,0.482815,2.919581,-2.763444,4.266263,0.560193,6.222240,9.248022,0.623570,0.236649,0.492565,0.861116,3.256131,0.646572,4.578548,31.419749,0.418438,26.185825,0.642457,-4.313115,-20.473954,-2.639383,14.150161,11.146621,2.881603,10.354284,2.736419,-9.666250,-3.818782,-9.241846,-3.677427,1.589386,0.639655,0.094487,-0.002520,0.110525,0.257188,-0.010824,-1.240049,0.126523,0.367892,0.687980,0.303303,0.840650
AAPL_2021_Q1,AAPL,2021,Q1,36,309.133000,25.901373,121.582890,258.462692,5.143076,22.521622,24.139667,27.681899,153.341552,0.221048,330.061499,-101.710127,-0.989501,1288.893089,0.189213,674.352191,0.382954,-102.774767,-0.920110,972.730704,0.297831,1694.968638,0.158020,-105.660466,-0.867355,883.251953,0.351276,2762.751303,0.125713,2.908205,0.863384,0.151632,0.148819,0.151272,0.119552,3.199842,-7.411447,-11.356410,-0.620975,-27.849065,16.016370,21.246256,0.444939,0.033441,1.580810,17.160530,0.822001,-3.284502,-1.868181,3.554056,0.426417,4.256225,5.795995,0.519060,0.159974,0.371212,0.678971,2.274819,0.687242,3.118906,44.239936,0.191661,41.292070,0.257026,-16.116242,-0.907502,-17.118163,-0.843578,12.292427,0.775094,16.231427,1.937792,-13.214442,-2.749821,-10.656244,0.504016,1.538049,0.613499,0.065324,-0.003021,0.077893,0.245366,-0.020866,-1.043650,0.126020,0.243522,0.610779,0.182949,0.856971
AAPL_2021_Q2,AAPL,2021,Q2,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL_2021_Q3,AAPL,2021,Q3,26,226.553000,26.290514,103.281324,237.452080,4.804496,23.307607,25.191101,28.107179,137.849078,0.188699,333.608890,-55.975924,-1.660458,1180.994724,0.233775,633.025265,0.464756,-60.167231,-1.402797,883.518097,0.375314,1655.122625,0.199549,-63.760544,-1.279008,790.979087,0.413792,2700.042603,0.133762,2.035817,1.720309,0.120074,0.270067,0.141623,0.238357,2.688723,-4.916909,-11.331071,-0.696524,-28.278613,13.254512,22.009344,0.413964,0.040469,1.688422,18.306314,0.580174,-0.093969,0.856815,3.666563,0.509117,5.609071,7.750608,0.616024,0.187535,0.448506,0.804910,3.235554,0.703548,4.192013,33.141127,0.379883,27.575525,0.617335,-7.485457,-2.605486,-5.032834,-5.621800,12.101403,1.840780,11.628053,1.818228,-13.026723,0.399108,-10.861060,-2.178709,1.689415,0.633075,0.093314,-0.003427,0.118623,0.228001,-0.014180,-1.051766,0.117949,0.325640,0.676401,0.263713,0.853984
AAPL_2021_Q4,AAPL,2021,Q4,13,94.822000,27.655907,48.748363,142.635978,3.453590,25.740262,27.414895,29.219968,65.231721,0.095729,160.001781,-82.518992,-1.175625,1330.371730,0.196081,685.034033,0.373255,-84.613854,-1.075588,1039.443612,0.303861,1672.082201,0.163124,-89.602655,-0.967733,865.315048,0.363280,2762.437861,0.107901,4.092641,0.651005,0.120966,0.181805,0.104337,0.139472,3.163835,-7.063660,-11.199625,-0.610155,-35.061872,15.869183,23.648155,0.426940,0.022470,1.169840,24.033931,0.527704,0.811013,-18.827001,3.710570,0.251383,2.625362,3.631215,0.288146,0.103896,0.212570,0.392116,1.294519,0.680447,1.863768,45.753870,0.169483,41.531437,0.275413,-15.150681,-1.032455,-15.780230,-1.049144,11.243259,2.590396,15.916155,1.672970,-10.981557,-2.011993,-11.445075,-1.995351,1.422591,0.612363,0.069773,0.005470,0.081366,0.212167,-0.009281,-3.957181,0.047592,0.104211,0.643060,0.080375,0.841722
