count_a,count_b,log_odds,ngram
9,0,2.6370648214429844,any
9,0,2.6370648214429844,year
6,0,2.2575751997380813,guys
5,0,2.090521115074915,wondering
4,0,1.8898504196127632,you guys
4,0,1.8898504196127632,little
4,0,1.8898504196127632,gaming
4,0,1.8898504196127632,if you could
4,0,1.8898504196127632,a little
4,0,1.8898504196127632,you could
4,0,1.8898504196127632,where
4,0,1.8898504196127632,wondering if you
4,0,1.8898504196127632,wondering if
4,0,1.8898504196127632,i think
4,0,1.8898504196127632,million
4,0,1.8898504196127632,around
4,0,1.8898504196127632,ai
3,0,1.6385359913318576,capex
3,0,1.6385359913318576,half
3,0,1.6385359913318576,color
