answer_text,certainty_rate,coverage,direct_early,evasion,event_key,forward_rate,justification_rate,question_complexity,question_text,rank,severity
"A replay of today's call will be available for 2 weeks on Apple Podcasts as a webcast on Apple.com/investor and via telephone. And the numbers to the telephone replay are (888) 203-1112 or (719) 457-0820. Please enter confirmation code 7060604. And these replays will be available by approximately 5 p.m. Pacific Time today. Members of the press with additional questions can contact Kristin Huguet at (408) 974-2414, and financial analysts can contact Matt Blake or me with additional questions. Matt is at (408) 974-7406, and I'm at (408) 974-5420. Thanks again for joining us.",19.607843137254903,0.1875,0.0,0.4200245098039216,AAPL_2019_Q2,19.607843137254903,0.0,138.0,"So you have more than 1.4 billion active devices, and at your event, you announced services that leverage that installed base. And you have obviously a remarkable position with kind of this Trojan horse of devices out in so many households. So I guess the question is -- and I know some of these services aren't even live yet, but should we expect a continuation of the building out of new services categories like what we saw at the March event? Is there a pipeline of new services in the works? Or have we kind of seen what we're likely to see on that front for the near to intermediate term? And then I have a follow-up.",1,3.3228058090667303
"Yes. Thank you, Shannon. We're glad to put the litigation behind us, and all the litigation around the world have been dismissed and settled. We're very happy to have a multi-year supply agreement. And we're happy that we have a direct license arrangement with Qualcomm, which was, I know, important for both companies, and so we feel good about the resolution.",0.0,0.24347826086956526,0.5,0.26623562412342217,AAPL_2019_Q2,0.0,0.0,53.0,"I just had a quick follow-up for Luca on the Services side. Luca, we see that you're guiding to higher operating expenses quarter-on-quarter. How much of that incremental is going in to support the new services that you're planning to launch later in the year?",2,1.9330163523159911
"I think India is a very important market in the long term. It's a challenging market in the short term, but we're learning a lot. We have started manufacturing there, which is very important to be able to serve the market in a reasonable way, and we're growing that capability there. And we would like to place retail stores there, and we're working with the government to seek approval to do that. And so we plan on going in there with sort of all of our might. We've opened a developer accelerator there, which we're very happy with some of the things coming out of there. It's a long-term play. It's not something that's going to be on overnight huge business, but I think the growth potential is phenomenal. It doesn't bother me that it's primarily Android business at the moment because that just means there's a lot of opportunity there.",0.0,0.09433962264150944,0.993421052631579,0.24350297914597813,AAPL_2019_Q2,6.578947368421052,6.578947368421052,55.0,"Luca, if I look back over the past 5 years, June quarter revenue typically declines about 15% from the March quarter. You're guiding to an 8% drop this year. So can you just talk about which regions or product segments you think can outperform that typical seasonality?",3,1.722340359275627
"As Tim has explained, we've reach this comprehensive agreement with Qualcomm. As part of this, we have agreed that we're not going to share the financial terms of the agreement, so we plan to honor that. What you see in our gross margin guidance for the June quarter, we guided 37% to 38%, fully comprehends the outcome of the agreement with Qualcomm.",0.0,0.23943661971830987,0.8387096774193549,0.12905951840072694,AAPL_2019_Q2,32.25806451612903,0.0,99.0,"And then I'm sure you're probably expecting a question on Qualcomm settlement. So what would you like to say on the settlement? How are you thinking about your component providers going forward? And how should we think about this with regard to, I don't know, your development plans in the future? Because I'm sure you're not going to talk about when you're going to do 5G but clearly, it helps that path.",4,1.6418906790276586
"It's growing very, very fast, Mike. I think it was up around 70% over the previous year. We're expanding into new geographies as well, and we still have more geographies out there that we think can move the dial further. So it is a -- it's definitely a business that is big and getting bigger.",18.51851851851852,0.2481751824817518,1.0,0.20525547445255476,AAPL_2019_Q2,0.0,0.0,90.0,"Right. And then you mentioned the App Store search ad business a couple of times in the prepared remarks. Is that reaching a point where it's become material and maybe moving the needle for overall Services revenue? Or is there anything you can quantify related to that? I also imagine that this is a high-margin business, at least maybe higher than the overall Services margin but wondering if you can confirm if that's the case or not.",5,1.6036270175576397
"Thank you, Samik. A replay of today's call will be available for 2 weeks on Apple Podcasts, as a webcast on apple.com/investor and via telephone and the numbers to the telephone replay are (888) 203-1112 or (719) 457-0820. Please enter confirmation code 3057347. These replays will be available by approximately 5 p.m. Pacific Time today. Members of the press with additional questions can contact Kristin Huguet at (408) 974-2414 and financial analysts can contact Tejas Gala or me with additional questions. Tejas is at (669) 227-2402, and I'm at (408) 974-5420. Thanks again for joining us.",19.23076923076923,0.20359281437125748,0.0,0.4134200829111009,AAPL_2019_Q3,19.23076923076923,0.0,67.0,"Got it. If I can just follow up on the China market. One of the things that we're looking at is with these -- going into the new year into 2020, there'll be a lot of 5G phones launching in that market from the Android players. How you're thinking about the competitive landscape there as you enter next year?",1,2.8050508821046263
"And Jim, on OpEx, obviously, it's very important for us to continue to invest in the business, particularly on the R&D side because we always want to bring more innovation into the market. We want to improve the user experience and differentiate our products and services in the marketplace. So we will continue to do that. There are some types of investments, of course, that are very strategic for us and they will have long-term implications. You've seen the announcement that we made around the Intel acquisition. Very important strategically for us. It requires upfront investment, of course. As you've seen from this quarter and also from the past, we will continue to run our SG&A portion of OpEx tightly. We will -- of course, we'll continue to invest in marketing and advertising. We talked about a lot of new services that we are launching during the fall and Apple Card the next month. Obviously, they will require the appropriate level of marketing and advertising as we launch them to the general public. When you look in total at where we are in terms of our expense-to-revenue ratio for operating expenses, you know quite well that we are extremely competitive relative to other tech companies. So we want to continue to be competitive and at the same time, we will not underinvest in the business.",48.03493449781659,0.16722408026755853,0.982532751091703,0.17995107417738898,AAPL_2019_Q3,30.56768558951965,4.366812227074236,79.0,"Great. And this is probably for you too as well, Luca. Can you talk about gross margin? The guidance was pretty solid. Obviously, there are various things that are at play here. I know you mentioned the $1 billion worth of top line impact, I think, from currency next quarter. But maybe if you can kind of talk about what went into your gross margin guidance?",2,1.6473922613266079
"Yes. I think it's important to start with that 18% in constant currencies, Shannon. Our reported results are on a normalized basis, removing the onetime item from last year, was 15%. Clearly, FX plays a role around the world, 300 basis points of FX impact during the June quarter. In spite of that, it was an all-time record revenue. Our installed base continues to grow. It's growing in every geography and it's growing across all our major product categories, and that is very, very important for the Services -- for the Services business. I would say -- I'll give you a bit more color around 2 offsetting factors around this performance during the June quarter. On one side, the App Store, I mentioned in my prepared remarks that growth accelerated sequentially. We had double-digit growth on the App Store in every geography. In China, we saw significant acceleration. As you know, we tend to monetize in China on the App Store through game titles, and the government has approved a few key game titles during the quarter that has helped our performance there. On the other side, AppleCare. I mentioned AppleCare was an all-time record in June, so a really strong performance. But our growth has decelerated in AppleCare due to factors that we fully expected because we are comping this expansion of our coverage for AppleCare that we've had, we've had significant success during the last 18 to 24 months in really broadening our coverage of AppleCare around the world with some key partners, carriers and resellers. And obviously, as we go through the year, those comps become a bit more difficult. Having said all that, you know that we've given ourselves a couple of targets, and we feel very confident about reaching those targets. The first one is that we wanted to double the size of the Services business from our fiscal '16 to 2020. We are on our way there. Paid subscriptions is another target. It's important to us. It's an important way for us to monetize our ecosystem. We set a target of surpassing 0.5 billion paid subscriptions on the ecosystem during 2020. We're already at 420 million now. So we feel confident there. And of course, as you mentioned, we're very excited about the fact that we're going to be launching new services soon. As Tim said, we're starting the rollout of Apple Card in August. And there's 2 more very important services that we're going to be adding to our portfolio during the fall. One is Apple Arcade, which is our gaming subscription service, and of course, Apple TV+, which is our video streaming service. So obviously, these services will help us carry on with the momentum that we have in Services.",8.695652173913043,0.16696914700544463,0.9956521739130435,0.1498417107235856,AAPL_2019_Q3,6.521739130434782,8.695652173913043,93.0,"And then just on the App Store, appreciate there's not a lot of detail out around exact timing and even some pricing of the new services. But how should we think about the new services that launched in March impacting the overall Services growth? Does that start to benefit the model in the back half of this calendar year? Or will the impact be more longer term in nature and really show up in 2020?",3,1.6349461239966452
"We don't comment on future products. With respect to 5G, it's -- I think most people would tell you it's -- we're in sort of the extremely early, early innings of it and even more so on a global basis. So we couldn't be more proud of what our lineup is, and we're excited about the great pipeline of both hardware and software, and we won't trade our position for anyone's.",0.0,0.3010752688172043,0.9420289855072463,0.17842917251051896,AAPL_2019_Q3,14.492753623188406,0.0,123.0,"Can you talk a bit about what's going on within Services, some of the puts and takes? I know Luca, you gave us some color in terms of the growth rates in that. But I'm just curious as -- and I know you won't talk about future products, but as you think about the opportunities, you think about what you've got now and in the future and then some of the -- what's been going on with China in that, is there something that could reaccelerate or -- again, the 18% on a constant currency basis is obviously quite strong. But how are you thinking about it?",4,1.6220777045712056
"Katy, let me just talk about the new services that we've announced in March and then also about the timing of how we get to revenue, right? We've announced Apple News+, and this is the service that is available for consumers right now. We've announced our channel service, which has also become available a few weeks ago. The other 3 services, the Card is launching in August, the gaming service and the video service are starting in the fall. Keep in mind for all these services, there's a trial period upfront. There's going to be different trial periods, we'll see what they look like. So the road to monetization takes some time. Obviously, all of them will add to our base and will help us with growth rates as we get into next year.",14.925373134328359,0.36151603498542273,0.9477611940298507,0.09670118793786171,AAPL_2019_Q3,22.388059701492537,0.0,240.0,"The first question is probably for Tim and the second one for Luca, and I'll ask them at the same time so you can pick and choose whichever one you want to answer, first and second. But the first question, Tim. Regarding the installed base comment you've made, which is quite encouraging, but yet when you look at the iPhone revenue year-over-year, the past several quarters has been down. Can you help us bridge the gap of how is the installed base growing? Is it mostly because like secondary users are the new ones coming into the system as people are holding their phones longer? And what does that user typically bring in with them or something rather unique relative to what we historically know? And then for Luca, you've been investing a lot, a lot, lot, lot and a lot of these services are now coming to pass, whether it be AppleCare, Apple cloud, all these Wearables, and soon Apple Pay and Arcade. Are we at a point where now, a lot of harvesting is going to happen? Or do you kind of continue these relatively same investments that you've been doing for the future strategy?",5,1.5216619318269944
